Account,Followers,Quality_Audience,ER,Est_Post_Price,Avg_Reels_View,Category,Interests,Turkey,Comment_Rate,Score,Sponsored_Reels_View,Campaign_Reach,Performance_Ratio,Cost_Per_Reach,Link_Clicks,Cost_Per_Click,Actual_Campaign_Cost
muratozdemir_official,14051,11186,5.248737,75.0,37386,"Entertainment, Music, Headphones, Singer, Music Tour, Social Clubs, Theater, Political Shows, Political Leaders, Movies & TV Shows","Entertainment : 89%, Theater : 76%, Music : 74%, Dance : 65%, Film & Television : 62%, Stand-up Comedy : 51%, Social Issues : 50%, Politics : 45%, Fashion : 26%, Unboxings : 22%, Business and Careers : 21%, Religion : 20%, Traveling : 20%, Beauty : 20%",70,0.16,80,,,,,,,
bingol_arafat,16307,11178,7.322009,80.0,17353,"Romantic Relationships & Dating, Church, Wedding, Political Leaders, Love & Intimacy, Political Shows, Pastor, Politics, Religion & Spirituality, Religious Organizations","Politics : 85%, Social Issues : 84%, Film & Television : 68%, Religion : 48%, Unboxings : 46%, Entertainment : 40%, Business and Careers : 39%, Theater : 36%, Fashion : 36%, Parenting & Relationships : 30%, Traveling : 30%, Finance & Accounting : 28%, Beauty : 27%, Philanthropy & Charity : 26%, Football & Soccer : 23%, Luxury : 23%, Health & Medicine : 22%, Volleyball : 20%",71,0.05,80,,,,,,,
yakubhasimi.hocaefendi,16899,11117,12.42973,80.0,6447,"Social Issues, Politics, Natural Disasters, Cultural & Historical Travel, Social Studies Education, Political Shows, Friendship, Movies & TV Shows, Social Organisations, Travel Agencies","Social Issues : 92%, Politics : 91%, Film & Television : 85%, Ecology : 39%, Religion : 37%, Space Exploration : 33%, Entertainment : 32%, Hiking & Trekking : 32%, Traveling : 30%, Space & Astronomy : 27%, Technology & Gadgets : 25%, Outdoor Camping : 25%, Football & Soccer : 20%, Theater : 20%",69,0.04,80,,,,,,,
ucakteknisyenleri,12897,11095,4.962394,80.0,34348,"Airplanes, Drones, Travel Agencies, Government","Technology & Gadgets : 72%, Film & Television : 70%, Politics : 69%, Traveling : 65%, Space Exploration : 65%, Aviation : 63%, Automobiles : 58%, Social Issues : 57%, Hiking & Trekking : 56%, Space & Astronomy : 45%, Motorcycles : 44%, Outdoor Camping : 43%, Ecology : 42%, Entertainment : 40%, AI & Machine Learning : 31%, Photography : 30%, Yachting & Sailing : 28%, Football & Soccer : 28%, Theater : 27%, Motorsports : 25%, American Football : 25%, Baseball : 24%, Business and Careers : 23%, Dining & Nightlife : 20%, Finance & Accounting : 20%",64,0.04,80,,,,,,,
mka_3.32,13332,11080,7.755776,80.0,21660,"Vehicles, Cars, Electric Cars, Motorbikes, Luxury Cars","Motorcycles : 94%, Automobiles : 89%, Technology & Gadgets : 82%, Motorsports : 81%, Skateboarding : 61%, Film & Television : 59%, Entertainment : 56%, Politics : 53%, Social Issues : 49%, Traveling : 37%, Stand-up Comedy : 34%, Theater : 33%, Aviation : 31%, Dance : 25%, Music : 24%, Hiking & Trekking : 23%, AI & Machine Learning : 22%, Football & Soccer : 20%",81,0.04,80,,,,,,,
caddyiizm,12866,10968,4.993782,80.0,13400,,"Automobiles : 90%, Motorcycles : 85%, Social Issues : 79%, Technology & Gadgets : 77%, Politics : 74%, Motorsports : 73%, Film & Television : 60%, Skateboarding : 43%, Aviation : 35%, Ecology : 34%, Pet Care : 29%, Entertainment : 25%, Hiking & Trekking : 24%, Traveling : 23%, Football & Soccer : 22%, AI & Machine Learning : 22%, Outdoor Camping : 20%",81,0.05,80,,,,,,,
suriyesizsuriyeli,16619,10948,11.715506,80.0,53216,"Politics, Social Studies Education, Social Issues, Books, Religious Organizations, Social Organisations, Political Shows, Consulting, Kids Education, Education","Social Issues : 97%, Politics : 96%, Film & Television : 85%, Religion : 54%, Entertainment : 39%, Business and Careers : 35%, Educational : 33%, Philanthropy & Charity : 32%, Football & Soccer : 30%, Unboxings : 24%, Literature : 23%, Theater : 23%, Finance & Accounting : 22%, History : 20%",61,0.18,90,,,,,,,
emrehasgulec,12221,10855,7.204811,85.0,20990,"Travel Agencies, Cultural & Historical Travel, Travel, Social Issues, Politics, Political Leaders, Hobbies, Solar Power, Relocation, Romantic Relationships & Dating","Traveling : 68%, Film & Television : 64%, Social Issues : 59%, Politics : 52%, Hiking & Trekking : 50%, Fashion : 49%, Entertainment : 44%, Theater : 40%, Photography : 37%, Modeling : 31%, Beauty : 30%, Volleyball : 30%, Dance : 29%, Space & Astronomy : 27%, Space Exploration : 27%, Unboxings : 27%, Fitness & Bodybuilding : 25%, Luxury : 25%, Outdoor Camping : 23%, Business and Careers : 23%, Football & Soccer : 23%, Music : 21%, Ecology : 21%, Stand-up Comedy : 20%, Technology & Gadgets : 20%",68,0.18,90,,,,,,,
astronagme,13534,10666,5.449239,80.0,27293,"Astrology, Religion & Spirituality, Astronomy & Space, Religious Organizations, Meditation, Nonprofit Organizations, Love & Intimacy, Kids Education, Charity, Consulting","Social Issues : 66%, Politics : 63%, Religion : 54%, Film & Television : 50%, Educational : 49%, Meditative Practices : 41%, Business and Careers : 39%, Philanthropy & Charity : 37%, Astrology : 36%, Parenting & Relationships : 34%, Health & Medicine : 33%, Unboxings : 32%, Traveling : 31%, Entertainment : 31%, Fashion : 31%, Beauty : 28%, Theater : 28%, Hiking & Trekking : 27%, Finance & Accounting : 26%, Space & Astronomy : 25%, Literature : 23%, Luxury : 20%",74,0.21,90,,,,,,,
yigitbayraktar61,14453,10605,5.874213,85.0,18915,"Dance, Gymnastics","Dance : 75%, Entertainment : 74%, Theater : 59%, Fitness & Bodybuilding : 57%, Yoga : 54%, Music : 54%, Fashion : 50%, Stand-up Comedy : 49%, Running & Athletics : 46%, Beauty : 42%, Physics : 38%, Skateboarding : 38%, Wrestling : 37%, Health & Medicine : 35%, Snowboarding : 33%, Modeling : 33%, Volleyball : 33%, Traveling : 33%, Film & Television : 30%, Luxury : 25%, Hiking & Trekking : 24%, Makeup : 23%, Boxing : 23%, Unboxings : 20%",42,0.23,90,,,,,,,
i4bdt,14178,10588,12.470024,80.0,43123,"Children Wear, Kids Fashion, Motherhood","Sustainability : 63%, Beauty : 54%, Dance : 47%, Anime, Manga & Comics : 44%, Fashion : 39%, Haircare : 38%, Social Issues : 33%, Literature : 32%, Traveling : 31%, Parenting & Relationships : 28%, Makeup : 26%, Skincare : 25%, Video Gaming : 25%, Science : 23%, AI & Machine Learning : 21%, Educational : 20%, Stand-up Comedy : 20%",69,0.3,90,,,,,,,
rainbowsixsiegetr,15261,10496,7.198087,80.0,297577,"Movies & TV Shows, Entertainment, Gaming Consoles, Gaming, Funny Videos, Movies, Political Shows, TV Series, TV Show, Cosplay","Entertainment : 84%, Film & Television : 82%, Video Gaming : 70%, Cosplay : 56%, Technology & Gadgets : 52%, Social Issues : 49%, Politics : 47%, Theater : 44%, Dance : 40%, Music : 34%, Stand-up Comedy : 26%, Anime, Manga & Comics : 25%, Children's Games & Toys : 22%",72,0.13,90,,,,,,,
kaan.gucuyeter,13980,10471,5.715308,80.0,10014,"Cars, Vehicles, Motorbikes, Electric Cars","Motorcycles : 102%, Motorsports : 100%, Automobiles : 99%, Technology & Gadgets : 95%, Skateboarding : 88%, AI & Machine Learning : 61%, Politics : 59%, Social Issues : 53%, Film & Television : 51%, Aviation : 43%, Snowboarding : 32%, Stand-up Comedy : 32%, Entertainment : 31%, American Football : 27%, Football & Soccer : 25%, Baseball : 21%, Hiking & Trekking : 20%",65,0.15,90,,,,,,,
prof.dr.burcuozsoy,15744,10461,5.535442,80.0,7751,"Consulting, Social Studies Education, Nonprofit Organizations, Education, Astronomy & Space, Global Warming, Social Organisations, Language Learning, Online Education, Climate Change","Social Issues : 75%, Educational : 74%, Ecology : 66%, Hiking & Trekking : 62%, Film & Television : 60%, Politics : 56%, Outdoor Camping : 53%, Entertainment : 52%, Literature : 51%, Philanthropy & Charity : 43%, Traveling : 42%, Theater : 42%, Space & Astronomy : 41%, Snowboarding : 41%, Astrology : 40%, Space Exploration : 39%, History : 39%, Business and Careers : 36%, Photography : 31%, Religion : 31%, Handicrafts : 28%, Meditative Practices : 28%, Pet Care : 28%, Finance & Accounting : 26%, Dance : 26%",74,0.15,90,,,,,,,
mattia.minguzzi_,15214,10432,32.798738,80.0,50523,"Movies & TV Shows, Politics, Love & Intimacy, Romantic Relationships & Dating, Political Shows, Social Issues, Friendship, Political Leaders, Astronomy & Space, Social Organisations","Social Issues : 90%, Film & Television : 89%, Politics : 88%, Entertainment : 56%, Religion : 50%, Traveling : 37%, Theater : 35%, Football & Soccer : 34%, Business and Careers : 29%, Unboxings : 24%, Baseball : 23%, Volleyball : 23%, Hiking & Trekking : 22%, Technology & Gadgets : 22%, Space & Astronomy : 21%, American Football : 20%",71,1.32,90,,,,,,,
haticclk,13427,10321,4.598942,75.0,2426,"Cultural & Historical Travel, Travel Agencies, Social Issues, Travel, Solar Power, Astronomy & Space, Politics, Natural Disasters, Chess, Romantic Relationships & Dating","Social Issues : 79%, Politics : 77%, Film & Television : 72%, Traveling : 56%, Hiking & Trekking : 48%, Theater : 41%, Ecology : 38%, Entertainment : 37%, Space Exploration : 36%, Outdoor Camping : 31%, Unboxings : 31%, Religion : 30%, Business and Careers : 30%, Photography : 30%, Space & Astronomy : 30%, Fashion : 28%, Beauty : 23%, Parenting & Relationships : 21%, Philanthropy & Charity : 20%, Technology & Gadgets : 20%",71,0.03,80,,,,,,,
eray.aydnn,16265,10297,6.950507,80.0,22813,"Smartphones, Travel Agencies, Chess, Drones, Internet of Things, Movies & TV Shows, Personal Computers, Underwater Photography, Marine Life","Politics : 73%, Film & Television : 68%, Social Issues : 64%, Technology & Gadgets : 50%, Entertainment : 48%, Traveling : 38%, Unboxings : 35%, Theater : 33%, Business and Careers : 32%, Fashion : 27%, Football & Soccer : 27%, Volleyball : 26%, Automobiles : 25%, Beauty : 25%, Parenting & Relationships : 25%, Religion : 24%, Hiking & Trekking : 24%, Motorcycles : 24%, Children's Games & Toys : 23%, Finance & Accounting : 22%, Music : 22%, Video Gaming : 20%",73,0.04,80,,,,,,,
yalcnyazlk,15542,10282,6.57573,75.0,14493,"Hiking & Trekking, Travel, Travel Agencies, Mountains, Outdoor Activities, Cultural & Historical Travel, Geology, Beautiful Nature, Ecology, Outdoor Lifestyle","Hiking & Trekking : 81%, Traveling : 78%, Ecology : 75%, Outdoor Camping : 63%, Snowboarding : 63%, Space Exploration : 51%, Film & Television : 49%, Social Issues : 43%, Motorcycles : 42%, Space & Astronomy : 34%, Skateboarding : 34%, Politics : 33%, Photography : 32%, Motorsports : 31%, Surfing : 31%, Entertainment : 30%, Technology & Gadgets : 29%, Automobiles : 29%, Theater : 23%, Yachting & Sailing : 22%",68,0.06,80,,,,,,,
kborayenilmez,14164,10229,8.708698,80.0,4755,"Hiking & Trekking, Outdoor Activities, Trail Running, Mountains, Mountain Biking, Snowboarding, Cycling, Geology, Outdoor Lifestyle, Bicycles","Snowboarding : 90%, Hiking & Trekking : 84%, Motorsports : 83%, Skateboarding : 77%, Traveling : 64%, Ecology : 58%, Motorcycles : 54%, Surfing : 51%, Photography : 49%, Outdoor Camping : 39%, Running & Athletics : 37%, Film & Television : 36%, Politics : 35%, Volleyball : 33%, Social Issues : 33%, Automobiles : 32%, Space Exploration : 31%, Theater : 29%, Fitness & Bodybuilding : 26%, Entertainment : 25%, Football & Soccer : 24%, Technology & Gadgets : 24%, Space & Astronomy : 23%, Fashion : 22%, Yachting & Sailing : 20%",66,0.15,80,,,,,,,
weirdsteorra,14246,10221,4.941738,80.0,9490,"3D Printing, Art & Design, Art, Digital Art, Pop Art, Ceramic Art, Painting, Street Art, Crafts, Collage","DIY Projects : 52%, Handicrafts : 52%, Anime, Manga & Comics : 43%, Film & Television : 42%, Children's Games & Toys : 34%, Unboxings : 33%, Literature : 32%, Architecture & Design : 31%, Interior Design : 28%, Cosplay : 27%, Photography : 24%, Politics : 23%, Entertainment : 22%, Property & Real Estate : 22%, Theater : 22%, Technology & Gadgets : 20%",67,0.17,90,,,,,,,
bilgehankoc_world_champion,12296,10213,6.38419,80.0,24891,"Gym & Fitness, Weightlifting, Bodybuilding, Cardio Training, Wrestling, Gymnastics, Boxing, Powerlifting, Martial Arts, Stretching","Fitness & Bodybuilding : 83%, Wrestling : 79%, Boxing : 68%, Yoga : 65%, Physics : 63%, Health & Medicine : 54%, Traveling : 52%, Volleyball : 51%, Fashion : 50%, Social Issues : 42%, Beauty : 38%, Dance : 38%, Politics : 37%, Running & Athletics : 36%, Football & Soccer : 35%, Stand-up Comedy : 34%, Basketball : 32%, Film & Television : 32%, Entertainment : 32%, Hiking & Trekking : 29%, Modeling : 26%, Theater : 26%, Baseball : 25%, Unboxings : 25%, Parenting & Relationships : 22%",65,0.21,90,,,,,,,
ugureracil,11615,10120,5.609126,80.0,3195,"Singer, Romantic Relationships & Dating, Love & Intimacy, Religion & Spirituality, Church, Music, Pastor, Music Tour, Headphones, Christianity","Film & Television : 67%, Politics : 66%, Social Issues : 66%, Entertainment : 54%, Religion : 52%, Theater : 43%, Unboxings : 37%, Fashion : 34%, Traveling : 34%, Beauty : 26%, Music : 26%, Meditative Practices : 25%, Business and Careers : 25%, Parenting & Relationships : 24%, Dance : 21%",79,0.43,90,,,,,,,
feteperocco,13668,10081,13.857185,80.0,24876,"Magical Crystals, Love & Intimacy, Magic & Illusions, Memes, Romantic Relationships & Dating, Religion & Spirituality, Tarot Cards, Pop Art, Jewellery Making, Shamanism","Politics : 59%, Social Issues : 58%, Film & Television : 51%, Unboxings : 45%, Entertainment : 38%, Health & Medicine : 35%, Handicrafts : 34%, Fashion : 33%, Theater : 31%, Religion : 30%, Skincare : 29%, Business and Careers : 29%, Parenting & Relationships : 28%, DIY Projects : 28%, Nail Care : 27%, Traveling : 27%, Beauty : 27%, Luxury : 24%, Haircare : 23%, Makeup : 23%, Meditative Practices : 22%, Technology & Gadgets : 22%, Children's Games & Toys : 22%, Finance & Accounting : 21%, Philanthropy & Charity : 21%",77,0.12,90,,,,,,,
jongsukfansayfasi,14322,10075,8.225108,80.0,4829,"Movies & TV Shows, Entertainment, Political Shows, Theater, Politics, Football & Soccer, Friendship, TV Show, Volleyball, Actors or Actress","Film & Television : 74%, Entertainment : 74%, Politics : 57%, Theater : 49%, Social Issues : 46%, Dance : 39%, Fashion : 38%, Traveling : 34%, Beauty : 32%, Music : 26%, Modeling : 26%, Volleyball : 25%, Unboxings : 24%, Football & Soccer : 23%, Luxury : 20%",61,0.47,90,,,,,,,
ilaydaleynademirci,11276,9972,6.065981,80.0,31620,,,72,0.18,90,,,,,,,
egemenbagis,12788,9966,4.723178,75.0,5590,"Politics, Political Leaders, Social Issues, Social Organisations, Political Shows, Government, Social Studies Education, Friendship, Nonprofit Organizations, Football & Soccer","Social Issues : 91%, Politics : 86%, Film & Television : 77%, Entertainment : 50%, Business and Careers : 40%, Theater : 39%, Religion : 36%, Football & Soccer : 36%, Traveling : 35%, Finance & Accounting : 33%, Philanthropy & Charity : 28%, Unboxings : 26%, Hiking & Trekking : 24%, Educational : 23%, Fashion : 22%, Volleyball : 21%, Parenting & Relationships : 20%",67,0.07,90,,,,,,,
birzariflisan,11461,9911,32.588779,75.0,3195,"Political Shows, Politics, Social Issues, Political Leaders, Romantic Relationships & Dating, Love & Intimacy, Pastor, Movies & TV Shows, Nuclear Power, Church","Politics : 89%, Social Issues : 89%, Film & Television : 85%, Entertainment : 54%, Religion : 46%, Theater : 35%, Unboxings : 28%, Traveling : 27%, Business and Careers : 26%, Technology & Gadgets : 20%, Music : 20%, Football & Soccer : 18%",77,0.05,80,,,,,,,
robinpolatt,12231,9882,5.212166,80.0,16290,"Pop Art, Music, Parody & Sketches, Headphones, Entertainment, Hobbies, Standup, Memes, Street Art, Art","Entertainment : 81%, Dance : 69%, Theater : 69%, Stand-up Comedy : 65%, Music : 64%, Film & Television : 47%, Anime, Manga & Comics : 40%, Handicrafts : 36%, Cosplay : 33%, Photography : 25%, Social Issues : 24%, Fashion : 24%, Technology & Gadgets : 22%, Traveling : 21%, Unboxings : 21%, DIY Projects : 20%",74,0.14,90,,,,,,,
tugcesbook,11708,9662,9.604544,75.0,10543,"Kids Books, Books, Kids Education","Literature : 66%, Educational : 63%, Astrology : 53%, DIY Projects : 46%, Children's Games & Toys : 37%, Social Issues : 36%, Parenting & Relationships : 36%, Religion : 32%, Unboxings : 31%, Philanthropy & Charity : 28%, Politics : 24%, Tea : 23%, Handicrafts : 23%, Coffee Culture : 22%",73,0.17,80,,,,,,,
izzetoztemiz.tattoo,13051,9575,4.880852,80.0,7634,"Tattoo Art, Rune Stones, Art, Painting, Pop Art, Street Art, Art & Design, Ceramic Art","Handicrafts : 57%, Stand-up Comedy : 57%, Nail Care : 53%, Entertainment : 50%, Dance : 46%, Fashion : 42%, Beauty : 41%, Theater : 40%, Traveling : 40%, Film & Television : 36%, Anime, Manga & Comics : 36%, Social Issues : 36%, Music : 35%, Photography : 33%, DIY Projects : 33%, Unboxings : 32%, Skincare : 32%, Makeup : 31%, Hiking & Trekking : 28%, Politics : 26%, Modeling : 26%, Technology & Gadgets : 26%, Volleyball : 23%, Motorcycles : 23%, Skateboarding : 22%",41,0.05,80,,,,,,,
gunizok,13926,9536,5.256355,80.0,23239,"Dance, Sex & Sexuality, Romantic Relationships & Dating","Fashion : 81%, Modeling : 63%, Traveling : 63%, Beauty : 59%, Dance : 48%, Entertainment : 41%, Luxury : 38%, Film & Television : 34%, Theater : 31%, Makeup : 27%, Photography : 26%, Unboxings : 26%, Yoga : 23%, Fitness & Bodybuilding : 21%, Hiking & Trekking : 21%",50,0.18,80,,,,,,,
emrehavuz,13519,9522,8.835713,75.0,24728,,"Entertainment : 74%, Film & Television : 73%, Social Issues : 65%, Theater : 56%, Politics : 56%, Music : 39%, Traveling : 35%, Dance : 35%, Fashion : 33%, Beauty : 26%, Religion : 25%, Unboxings : 25%, Hiking & Trekking : 24%, Stand-up Comedy : 23%, Business and Careers : 21%, Modeling : 20%",65,0.12,90,,,,,,,
minik_orgu_hayallerim,11796,9511,6.620888,75.0,5053,"Toys & Games, Handmade & DIY, Motherhood, Children Wear, Knitting, Newborn Care, Toddler Activities, Baby Fashion, Sewing, Maternity Fashion","Children's Games & Toys : 56%, DIY Projects : 55%, Parenting & Relationships : 42%, Unboxings : 41%, Handicrafts : 37%, Interior Design : 26%",73,0.62,90,,,,,,,
tellywood_fs,11813,9438,10.005926,60.0,6109,"Movies & TV Shows, Political Shows, Politics, Romantic Relationships & Dating, Love & Intimacy, Movies, Actors or Actress, Friendship, Entertainment, Funny Videos","Film & Television : 83%, Politics : 71%, Entertainment : 70%, Social Issues : 61%, Theater : 47%, Traveling : 32%, Beauty : 31%, Unboxings : 31%, Fashion : 29%, Religion : 26%, Dance : 22%, Cosplay : 21%, Music : 21%, Makeup : 20%, Business and Careers : 20%",50,0.06,80,,,,,,,
gezivloq,12090,9390,4.652605,75.0,4150,"Cultural & Historical Travel, Climate Change, Weather & Climate, Travel Agencies, Travel, Solar Power, Beautiful Nature, Hiking & Trekking, Camping, Global Warming","Hiking & Trekking : 60%, Traveling : 57%, Ecology : 51%, Outdoor Camping : 50%, Social Issues : 41%, Fashion : 38%, Politics : 37%, Photography : 37%, Space Exploration : 36%, Beauty : 32%, Film & Television : 29%, Space & Astronomy : 29%, Unboxings : 29%, Luxury : 27%, Modeling : 24%, Theater : 24%, Parenting & Relationships : 22%, Educational : 22%, Literature : 20%, Astrology : 20%, DIY Projects : 20%",86,0.17,90,,,,,,,
ultraslan35_,11242,9379,5.635118,75.0,70738,"Football & Soccer, Volleyball, Politics, American Football, Cricket, Rugby, Handball, Tennis, Baseball, Sports","Politics : 90%, Football & Soccer : 90%, American Football : 87%, Social Issues : 83%, Baseball : 82%, Film & Television : 78%, Volleyball : 73%, Basketball : 68%, Entertainment : 60%, Business and Careers : 35%, Theater : 34%, Religion : 31%, Ice Hockey : 30%, Unboxings : 29%, Fashion : 28%, Finance & Accounting : 27%, Music : 26%, Dance : 25%, Traveling : 25%, Technology & Gadgets : 23%, Beauty : 21%",77,0.04,80,,,,,,,
maratonplatformu,11082,9366,11.04945,75.0,36171,"Politics, Political Leaders, Social Issues, Political Shows, Social Organisations, Football & Soccer, Love & Intimacy, Romantic Relationships & Dating, Social Clubs, Religious Organizations","Politics : 83%, Social Issues : 81%, Film & Television : 74%, Entertainment : 59%, Theater : 46%, Football & Soccer : 37%, Business and Careers : 35%, Unboxings : 34%, Traveling : 33%, Fashion : 29%, Religion : 28%, Music : 28%, Dance : 27%, Volleyball : 27%, Beauty : 26%, Finance & Accounting : 25%, Parenting & Relationships : 23%, Baseball : 22%, Technology & Gadgets : 21%, Philanthropy & Charity : 21%, American Football : 20%",79,0.05,80,,,,,,,
burakalpengin,12317,9316,16.931883,75.0,4949,"Music, Headphones, Music Tour, Singer, Social Clubs, Entertainment, Standup, Theater, Dance","Entertainment : 93%, Music : 89%, Theater : 85%, Dance : 81%, Stand-up Comedy : 76%, Film & Television : 41%, Social Issues : 24%, Politics : 22%",69,0.04,80,,,,,,,
zeynepsimyilmaz,12313,9237,7.662633,70.0,5811,"Shopping & Fashion Travel, Fashion Trends, Fashion, Lingerie & Intimates, Luxury Fashion, Kids Fashion, Women's Fashion, Swimwear, Formal Wear, Adult Modelling","Fashion : 83%, Beauty : 70%, Modeling : 63%, Luxury : 57%, Traveling : 56%, Makeup : 36%, Unboxings : 34%, Film & Television : 34%, Politics : 28%, Skincare : 24%, Dance : 23%, Parenting & Relationships : 23%, Entertainment : 23%, Hiking & Trekking : 23%, Theater : 22%, Photography : 22%, Health & Medicine : 22%",64,0.04,80,,,,,,,
turkiye.kurek,10964,9193,5.805363,75.0,18194,,,67,0.04,80,,,,,,,
psk.feritdurak,11650,9117,4.502146,75.0,9438,"Leadership & Motivation, Religious Organizations, Political Leaders, Nonprofit Organizations, Personal Development, Health & Medicine, Mental Health, Social Organisations, Career, Addiction & Recovery","Social Issues : 81%, Politics : 81%, Film & Television : 62%, Business and Careers : 56%, Finance & Accounting : 48%, Entertainment : 44%, Philanthropy & Charity : 40%, Religion : 40%, Health & Medicine : 38%, Fashion : 34%, Football & Soccer : 33%, Parenting & Relationships : 33%, Beauty : 33%, Volleyball : 33%, Unboxings : 32%, Theater : 31%, Traveling : 29%, Educational : 28%, Fitness & Bodybuilding : 24%, Yoga : 23%, Baseball : 23%, Meditative Practices : 23%, Dance : 22%, Technology & Gadgets : 22%, Makeup : 21%",75,0.05,80,,,,,,,
prof.dr.mehmet_yaman,11039,8974,4.977806,75.0,9887,"Medical Research, Mental Health, Alternative Medicine, Medicine, Health & Medicine, Health Issues, Medical Education, Sleep Health, Addiction & Recovery, Religious Organizations","Health & Medicine : 61%, Politics : 60%, Social Issues : 59%, Yoga : 42%, Meditative Practices : 41%, Film & Television : 40%, Business and Careers : 37%, Religion : 36%, Unboxings : 36%, Finance & Accounting : 32%, Parenting & Relationships : 31%, Fitness & Bodybuilding : 31%, Philanthropy & Charity : 31%, Entertainment : 30%, Theater : 30%, Fashion : 30%, Biology : 28%, Beauty : 27%, Traveling : 26%, Skincare : 25%, Volleyball : 25%, Dance : 24%, Football & Soccer : 22%, Educational : 22%, Music : 21%",88,0.71,90,,,,,,,
oyunmanyagi2021,13131,8944,4.866347,75.0,9117,"Gaming, Gaming Consoles, VR Devices, Funny Videos, Personal Computers, Cosplay, Memes, Anime, Electronics, Parody & Sketches","Video Gaming : 95%, Cosplay : 88%, Film & Television : 87%, Technology & Gadgets : 75%, Anime, Manga & Comics : 73%, Entertainment : 65%, Children's Games & Toys : 52%, Politics : 37%, American Football : 34%, AI & Machine Learning : 25%, Social Issues : 24%, Baseball : 24%, Football & Soccer : 24%, Theater : 22%, Volleyball : 20%, Dance : 20%",62,0.35,90,,,,,,,
fenerislia,14912,8939,27.062098,75.0,15855,"Football & Soccer, Politics","Politics : 77%, Football & Soccer : 77%, Social Issues : 75%, Volleyball : 70%, Film & Television : 68%, American Football : 66%, Baseball : 63%, Entertainment : 57%, Basketball : 57%, Theater : 41%, Business and Careers : 33%, Dance : 32%, Music : 32%, Traveling : 31%, Ice Hockey : 29%, Fashion : 29%, Stand-up Comedy : 28%, Unboxings : 27%, Finance & Accounting : 24%, Religion : 24%, Beauty : 24%, Parenting & Relationships : 24%, Technology & Gadgets : 22%, Philanthropy & Charity : 21%, Hiking & Trekking : 21%",61,0.04,80,,,,,,,
adskhaber,11816,8925,5.031313,75.0,5902,"Football & Soccer, Volleyball, Handball, Rugby, American Football, Sports, Cricket, Baseball, Basketball, Tennis","Football & Soccer : 85%, Baseball : 85%, American Football : 85%, Volleyball : 82%, Basketball : 75%, Politics : 70%, Film & Television : 64%, Entertainment : 63%, Social Issues : 63%, Ice Hockey : 43%, Theater : 42%, Dance : 38%, Fashion : 36%, Music : 35%, Stand-up Comedy : 31%, Business and Careers : 30%, Traveling : 28%, Unboxings : 28%, Beauty : 26%, Religion : 21%, Parenting & Relationships : 20%, Modeling : 20%, Tennis : 20%, Finance & Accounting : 20%",76,0.14,90,,,,,,,
umutcapone,12880,8916,6.906056,75.0,21589,"Romantic Relationships & Dating, Singer, Love & Intimacy, Wedding, Social Clubs, Headphones, Music Tour, Music, Entertainment, Sex & Sexuality","Entertainment : 77%, Dance : 62%, Film & Television : 60%, Theater : 57%, Music : 54%, Social Issues : 44%, Fashion : 41%, Stand-up Comedy : 41%, Beauty : 41%, Politics : 34%, Unboxings : 32%, Traveling : 29%, Makeup : 28%, Modeling : 24%, Skincare : 23%, Parenting & Relationships : 23%, Religion : 23%, Luxury : 21%, Nail Care : 20%",41,0.25,80,,,,,,,
saycem,12528,8881,7.918263,75.0,26472,"Political Shows, Politics, Social Issues, Movies & TV Shows, Political Leaders, Social Organisations, Social Studies Education, Love & Intimacy, Romantic Relationships & Dating, Entertainment","Film & Television : 70%, Politics : 67%, Social Issues : 61%, Entertainment : 52%, Theater : 48%, Unboxings : 35%, Fashion : 34%, Traveling : 33%, Beauty : 28%, Religion : 27%, Dance : 24%, Football & Soccer : 23%, Music : 23%, Business and Careers : 22%, Volleyball : 22%, Hiking & Trekking : 22%, Literature : 22%, Parenting & Relationships : 21%, Luxury : 21%, Modeling : 21%, Educational : 21%, Handicrafts : 20%, Photography : 20%",80,0.24,90,,,,,,,
caglarfidann,13386,8869,5.666368,75.0,25135,"Music, Headphones, Singer, Music Tour, Theater, Pop Art, Entertainment, Political Shows, Social Clubs, Romantic Relationships & Dating","Entertainment : 70%, Theater : 68%, Film & Television : 62%, Social Issues : 49%, Politics : 47%, Traveling : 43%, Music : 40%, Dance : 38%, Fashion : 38%, Photography : 32%, Unboxings : 28%, Hiking & Trekking : 27%, Beauty : 26%, Modeling : 26%, Stand-up Comedy : 25%, Handicrafts : 25%, Luxury : 23%, Religion : 23%",73,0.15,90,,,,,,,
natali_deniz,13609,8809,7.498714,75.0,6224,"Theater, Singer, Entertainment, Movies & TV Shows, Headphones, Music Tour, Political Shows, Cinema, Music, Actors or Actress","Film & Television : 69%, Theater : 68%, Entertainment : 67%, Fashion : 50%, Politics : 49%, Beauty : 40%, Dance : 38%, Modeling : 37%, Traveling : 36%, Social Issues : 32%, Music : 31%, Photography : 31%, Unboxings : 28%, Luxury : 24%, Hiking & Trekking : 20%",79,0.45,90,,,,,,,
hasankocakofficial,11059,8805,4.683968,75.0,21450,"Singer, Music, Music Tour, Headphones, Entertainment, Theater, Social Clubs, Political Shows, Movies & TV Shows, Pop Art","Entertainment : 88%, Theater : 77%, Music : 72%, Film & Television : 62%, Dance : 61%, Social Issues : 50%, Stand-up Comedy : 49%, Politics : 46%, Unboxings : 27%, Fashion : 22%, Business and Careers : 21%, Religion : 20%",70,0.16,80,,,,,,,
